CacheType,BPS,InsertThreshold,Latency_50,Latency_90,Latency_95,Latency_99,Latency_999,CHR
1,10,100,2280,6259,7061,8702,11135,0.4014
1,50,100,2288,6265,7059,8687,11137,0.4013
1,100,100,2257,6140,7034,8684,10936,0.4012
1,150,100,2306,6287,7118,8727,11038,0.4012
1,10,200,2088,6176,6978,8641,11071,0.4253
1,50,200,2096,6154,7001,8679,10956,0.4254
1,100,200,2112,6238,7033,8669,10887,0.4253
1,150,200,2112,6225,7046,8695,10959,0.4253
1,10,300,2032,6218,7024,8705,10929,0.4236
1,50,300,1999,6053,6986,8713,11134,0.4235
1,100,300,2079,6347,7155,8697,10820,0.4235
1,150,300,2058,6283,7101,8743,10923,0.4235
1,10,400,2015,6282,7102,8817,11046,0.4178
1,50,400,2020,6235,7117,8843,10834,0.4177
1,100,400,1978,6099,7048,8839,11066,0.4177
1,150,400,2017,6269,7081,8807,10918,0.4177
1,10,500,2019,6344,7163,8906,11038,0.4114
1,50,500,2028,6308,7187,8900,10863,0.4114
1,100,500,2069,6451,7281,8879,10836,0.4114
1,150,500,2003,6170,7122,8894,11081,0.4114
1,10,600,2036,6423,7265,9014,11350,0.4054
1,50,600,2040,6430,7266,9015,11112,0.4054
1,100,600,2056,6456,7294,9033,11319,0.4054
1,150,600,2058,6445,7274,9032,11166,0.4054
