service,rps,avg,0.50,0.90,0.95,0.99
adservice,39.9,13.391645781119465,2.0,16.0,21.890625,65.44444444444404
cartservice,1.9666666666666666,2405.022033898305,566.0,2877.5,4068.0,7504.20000000003
checkoutservice,9.99,75786.57991324658,33934.5625,118693.60000000002,203061.28750000006,832009.0200000012
currencyservice,146.33333333333334,434.3681776765376,189.8385026737968,805.1567460317463,1293.1728243021346,2969.6069518716577
emailservice,9.863333333333333,254.70936127069956,171.0,428.04999999999995,602.6124999999994,1690.309999999994
frontend,130.10666666666665,363910.5718628735,405297.75604838715,596130.8096420744,622250.236174066,901186.9191666663
paymentservice,9.603333333333333,603.716070808747,450.9375,878.9000000000001,1219.1499999999987,3145.6500000000046
productcatalogservice,470.0566666666667,1.2135914764596705,0.0,1.0,1.0,3.0
recommendationservice,93.29666666666667,68978.34077673372,79373.88981288981,180338.1507692308,195705.04431818184,287587.40708333335
redis
shippingservice,34.65,311.87044764795144,100.30846774193549,715.4093750000002,1162.6999999999994,2849.7599999999893
get,0.9866666666666667,3872.7939189189187,1233.5,3597.800000000002,4638.199999999999,8323.180000000008
set,0.98,927.265306122449,399.0,1101.5000000000014,2104.800000000004,5778.84
checkout_pod0,4.993333333333333,33487.5,116673.40000000002,203962.59999999986,872097.8399999992
checkout_pod1,4.996666666666667,34346.375,120775.60000000005,202772.34999999998,818936.5999999999
total,134.68,11.51s,10.68s,20.20s,25.61s
