service,rps,avg,0.50,0.90,0.95,0.99
adservice,34.25,37.60768856447689,4.0,16.0,21.0,51.16666666666667
cartservice,1.5233333333333334,2564.3566739606126,782.0,4625.8,7311.849999999995,36847.80000000008
checkoutservice,4.086666666666667,97801.91517128874,93103.0,164359.60000000003,194521.60000000003,236097.44
currencyservice,92.36,390.38617005918866,145.26663061114112,493.7452908067544,864.8868686868683,2484.253428571424
emailservice,3.91,441.8201193520887,213.0,1061.0000000000005,1549.85,3080.47
frontend,102.90333333333334,114455.4234718668,89507.62760416669,248306.80961538464,291018.31356736226,572624.7250000002
paymentservice,3.78,884.4532627865962,601.0,1745.2000000000003,2303.9999999999995,4528.400000000032
productcatalogservice,219.54666666666665,0.7624498967569537,0.0,1.0,1.0,2.0
recommendationservice,73.29333333333334,20008.97721484446,10170.522491349479,57396.60333333334,72816.83055555554,101230.19066666647
redis
shippingservice,12.813333333333333,754.2047346514048,129.11111111111111,1184.9333333333327,2441.8499999999954,9728.979999999985
get,1.0033333333333334,2708.531561461794,967.0,4721.600000000001,8231.4,25341.27
set,0.52,2286.173076923077,556.5,3831.9,5477.199999999999,48289.879999999976
checkout_pod0,2.0433333333333334,91849.0,169402.6,196903.65000000005,229655.31000000006
checkout_pod1,2.0433333333333334,95255.0,161383.40000000002,191853.20000000004,240890.89000000007
total,100.12,134.77ms,106.62ms,265.73ms,566.27ms
