service,rps,avg,0.50,0.90,0.95,0.99
adservice,46.17,8.38351021586889,1.0,17.0,22.0,57.30874999999992
cartservice,1.6766666666666667,5967.964214711729,1366.0,6323.999999999998,9411.75,78290.4999999999
checkoutservice,6.083333333333333,254857.31780821917,199536.125,585795.0,701574.0,921653.75
currencyservice,129.52666666666667,333.16488239230017,158.00087637900813,629.2197113997121,1053.8857610474627,2646.7848181818135
emailservice,4.94,420.88663967611336,212.75,882.4999999999998,1368.9999999999993,3597.920000000001
frontend,152.63,277750.90133001376,296902.91509621096,510501.8013334017,602039.8358501783,893444.4419185648
paymentservice,5.743333333333333,899.9303540336622,535.375,1673.4000000000005,2432.149999999999,5503.369999999999
productcatalogservice,544.5233333333333,0.935037984292072,0.0,1.0,1.0,3.0
recommendationservice,103.19333333333333,25266.333128755086,8476.4503079167,81114.311239819,87433.10612244897,97742.21784615378
redis
shippingservice,18.96,432.7176511954993,112.5,1035.2839999999994,1790.3333333333314,4600.059999999999
get,1.01,8468.73597359736,1626.0,7094.999999999997,10969.399999999969,81749.32999999993
set,0.6666666666666666,2179.295,897.0,4226.5,7338.5,13465.5
checkout_pod0,3.04,198958.5,579830.1000000002,694989.8999999999,981738.48
checkout_pod1,3.0433333333333334,200468.0,590874.0,702834.7499999999,896332.9400000001
total,150.02,361.06ms,334.85ms,600.58ms,1.53s
