service,rps,avg,0.50,0.90,0.95,0.99
adservice,40.99333333333333,16.35981460400065,6.0,18.0,24.0,58.337777777777866
cartservice,1.6366666666666667,2192.1751527494907,1041.0,3882.0000000000014,5558.049999999999,13540.929999999858
checkoutservice,4.0633333333333335,589779.2731747334,480569.0,1098608.6,1204093.0,1511986.8099999991
currencyservice,92.68666666666667,1167.7194850032367,146.74999999999997,555.7710698314417,999.7004732927642,67516.31228571414
emailservice,3.7066666666666666,488.9298561151079,214.5,1134.9,1634.0,4012.999999999988
frontend,102.84333333333333,199539.4622889184,139599.2346153846,446861.90288065857,617487.3986928104,1097598.6962857146
paymentservice,3.5366666666666666,871.698397737983,568.0,1739.6,2401.4999999999955,4783.710000000004
productcatalogservice,219.64333333333335,1.969556705568118,0.0,1.0,1.0,3.0
recommendationservice,67.88666666666667,36855.62918589806,15732.987789757413,87272.11678018574,96172.19138461542,113543.74909090911
redis
shippingservice,12.78,417.32394366197184,122.36111111111113,1028.211111111111,1737.2499999999977,4159.679999999997
get,1.0033333333333334,2628.7574750830563,1240.0,4071.4000000000005,5504.25,47003.2000000005
set,0.6333333333333333,1500.536842105263,923.0,3371.0,5571.0,8538.399999999998
total,100.11,222.54ms,195.46ms,493.57ms,1.22s
