service,rps,avg,0.50,0.90,0.95,0.99
adservice,34.03,11.196493290234107,4.0,18.0,24.0,63.18249999999989
cartservice,1.76,2146.9810606060605,973.5,3633.6,5490.7999999999965,13655.940000000131
checkoutservice,7.93,974439.2988650694,895282.0,1797152.625,2098087.0,2364174.300000001
currencyservice,94.18666666666667,1202.0202434881087,180.46343001261033,661.6161363636367,1220.168518518515,62762.3699999997
emailservice,6.98,481.62702960840494,216.22222222222226,1119.700000000001,1814.9999999999998,3447.919999999993
frontend,102.66666666666667,240128.78155844155,157519.69618055553,555617.7917789755,966081.221396251,1863390.7190476188
paymentservice,6.72,834.0173611111111,529.0,1678.9,2326.999999999998,4292.719999999999
productcatalogservice,275.36333333333334,0.9236753300574271,0.0,1.0,1.0,3.0
recommendationservice,72.77333333333333,9480.792368999633,4165.256055363322,15087.981699346397,60195.60510204079,73793.16555555556
redis
shippingservice,23.796666666666667,588.1012689723811,136.5,1340.0877551020405,2522.263999999998,6507.369999999995
get,0.99,2234.4511784511783,988.0,3587.000000000002,5120.9,17497.319999999996
set,0.77,2034.5194805194806,932.0,3668.6000000000004,5802.199999999999,8274.179999999995
total,99.64,285.83ms,224.90ms,594.43ms,1.64s
