,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,38.08,10.005077030812325,4.0,13.0,18.0,50.004444444444545,24.0
1,cartservice,1.44,2099.3055555555557,1114.0,2239.5,3875.2000000000003,12260.000000000007,5214.499999999996
2,checkoutservice,7.96,613940.7353433836,537598.6666666666,812521.3333333334,1113782.6,1616747.8599999999,1300978.0
3,currencyservice,96.28666666666666,314.2085093124697,176.83863636363628,324.6280991735536,592.5139860139863,2294.4388095238064,975.3966053921561
4,emailservice,7.036666666666667,732.4656560871625,208.66666666666666,520.25,1494.8000000000006,5572.479999999996,2341.2999999999975
5,frontend,102.61666666666666,212780.5894429105,186465.59071180553,299125.21088637714,449922.680715198,1256338.00416667,600362.6237719298
6,paymentservice,6.89,817.8030962747944,519.6666666666666,888.75,1663.8,4514.109999999999,2346.4999999999986
7,productcatalogservice,282.1166666666667,0.8515862231937141,0.0,1.0,1.0,3.0,1.0
8,recommendationservice,73.21666666666667,26043.400455269748,7574.776119402985,55732.382905138336,83965.38124999998,103788.34999999995,91111.9278846154
9,redis,,,,,,,0.0
10,shippingservice,26.703333333333333,407.7208837847959,110.63888888888887,382.50249999999994,991.9918367346943,4310.930000000012,1717.7219999999986
11,get,1.0,2313.31,1238.5,2403.0,3907.5,14591.0,5133.29999999999
12,set,0.44,1612.9318181818182,943.0,1905.0,3366.8999999999996,10765.64000000001,5219.2999999999965
13,total,100.15,285.18ms,212.99ms,374.27ms,512.26ms,1.49s,0.0
