service,rps,avg,0.50,0.75,0.90,0.99
adservice,32.31666666666667,26.645384218669417,2.0,12.0,18.9765625,62.024999999999636
cartservice,1.7533333333333334,3013.728136882129,1077.5,2343.0,4422.1,10693.240000000002
checkoutservice,7.976666666666667,499985.5106560802,400864.0,704471.638888889,1092147.9250000003,1608338.81
currencyservice,89.62333333333333,417.3126789898464,188.79933665008292,368.7508012820513,753.1625494071146,2884.6716326530645
emailservice,7.026666666666666,489.40891840607213,218.83333333333334,448.5,1028.7,4055.480000000003
frontend,102.92666666666666,451742.68126173975,418087.71826923074,698151.5626408072,897183.647977703,1606626.7681632654
paymentservice,7.17,892.3602975360297,523.7777777777778,926.625,1841.7750000000005,4338.329999999985
productcatalogservice,355.09,0.9918236691167498,0.0,1.0,1.0,3.0
recommendationservice,71.99,60342.271982219754,21071.918261345,97057.90960916443,173879.2768690958,275280.52599999955
redis
shippingservice,26.83,484.4272580444776,124.01736111111113,443.6500000000001,1162.0285714285717,5241.032500000008
get,0.9733333333333334,3993.530821917808,1352.0,2758.5,4730.100000000002,49907.119999998926
set,0.78,1791.068376068376,768.5,1850.0,3784.0999999999985,8453.879999999997
total,100.05,633.55ms,572.41ms,785.41ms,1.06s,1.95s
