service,rps,avg,0.50,0.75,0.90,0.99
adservice,29.15,19.593939393939394,2.0,10.0,18.0,71.18749999999909
cartservice,1.9466666666666668,4069.9400684931506,983.0,1854.5,3214.2,8124.319999999987
checkoutservice,3.2466666666666666,153822.84599589324,112663.5,190080.0,229192.80000000008,1715377.68
currencyservice,152.12666666666667,397.76122967702355,169.0,337.7266435986159,681.4106648199453,2657.3638961039014
emailservice,2.8666666666666667,302.4639534883721,183.0,255.0,470.5,3014.399999999998
frontend,93.13666666666667,583892.0536487598,404501.42849243776,602739.8663417515,914503.685,7898805.93765625
paymentservice,3.2,637.6739583333333,459.0,572.5,1015.0,3489.8999999999996
productcatalogservice,361.77666666666664,1.5649341674882293,0.0,1.0,1.0,3.0
recommendationservice,63.68666666666667,24667.510624934577,5092.732676518883,12401.341478397379,90062.03684729064,192737.9359999998
redis
shippingservice,26.043333333333333,366.7484960962498,97.01041666666667,368.14,921.3999999999999,3480.7599999999948
get,0.9833333333333333,6782.959322033898,1200.0,2159.0,3370.0,7160.600000000017
set,0.9633333333333334,1300.5951557093426,774.0,1582.0,3054.6000000000004,8378.730000000003
total,76.64686025497188,779.8236707518254,520.0,750.0,1200.0,8400.0
